Contribution_ID,Paper_ID,Paper_Title,Num_Props,Availability%,Accessibility%,Linkability%,License%,Overall%,Tier
R789575,R3000,Developing a classification method for periodically updating agricultu,10,100.0,100.0,62.5,100.0,90.6,Excellent
R282419,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282420,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282421,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282422,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282423,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282424,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282425,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282426,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282427,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282428,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282429,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282430,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282431,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282432,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282433,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282434,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282435,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282436,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282437,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282438,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282439,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282440,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282441,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282442,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282443,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282444,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282445,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282446,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282447,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282449,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282450,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282451,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282452,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282453,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282454,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282455,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282456,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282457,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282458,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282459,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282460,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282461,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282462,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282463,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282464,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282465,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282467,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R282468,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R286147,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R286148,R1000,,1,100.0,100.0,100.0,100.0,100.0,Excellent
R1031,R1020,Open Research Knowledge Graph: Towards Machine Actionability in Schola,8,100.0,100.0,16.7,100.0,79.2,Good
R2038,R2022,Why Reinvent the Wheel,4,100.0,100.0,0.0,100.0,75.0,Good
R2012,R2008,Algorithm and Hardware for a Merge Sort Using Multiple Processors,1,100.0,100.0,0.0,100.0,75.0,Good
R189397,R2047,Capturing Knowledge in Semantically-typed Relational Patterns to Enhan,3,100.0,100.0,66.7,100.0,91.7,Excellent
R2058,R2047,Capturing Knowledge in Semantically-typed Relational Patterns to Enhan,2,100.0,100.0,50.0,50.0,75.0,Good
R569128,R2047,Capturing Knowledge in Semantically-typed Relational Patterns to Enhan,27,100.0,100.0,8.0,100.0,77.0,Good
R166218,R2069,Decentralized Collaborative Knowledge Management Using Git,3,100.0,100.0,66.7,100.0,91.7,Excellent
R4843,R4838,Visual Summarization of Scholarly Videos Using Word Embeddings and Key,11,100.0,100.0,0.0,100.0,75.0,Good
R4575,R4568,Relationale Prozessmodellierung in kooperativer Gebäudeplanung,1,100.0,0.0,100.0,100.0,75.0,Good
R4947,R4938,Interest-Based RDF Update Propagation,2,100.0,100.0,50.0,50.0,75.0,Good
R4960,R4952,MULDER: Querying the Linked Data Web by Bridging RDF Molecule Template,2,100.0,100.0,50.0,50.0,75.0,Good
R4962,R4952,MULDER: Querying the Linked Data Web by Bridging RDF Molecule Template,2,100.0,100.0,50.0,50.0,75.0,Good
R4986,R4978,BOUNCER: Privacy-Aware Query Processing over Federations of RDF Datase,2,100.0,100.0,50.0,50.0,75.0,Good
R4974,R4968,FedSDM: Semantic Data Manager for Federations of RDF Datasets,5,100.0,100.0,33.3,66.7,75.0,Good
R4999,R4993,Ontario: Federated Query Processing Against a Semantic Data Lake,3,100.0,100.0,33.3,100.0,83.3,Excellent
R5000,R4993,Ontario: Federated Query Processing Against a Semantic Data Lake,2,100.0,100.0,50.0,100.0,87.5,Excellent
R6051,R6050,A method for eliminating articles by homonymous authors from the large,4,100.0,100.0,0.0,100.0,75.0,Good
R6070,R6069,Unsupervised author disambiguation using Dempster–Shafer theory,9,100.0,100.0,57.1,100.0,89.3,Excellent
R6077,R6076,Exploiting citation networks for large-scale author name disambiguatio,5,100.0,100.0,33.3,100.0,83.3,Excellent
R6101,R6100,A fast method based on multiple clustering for name disambiguation in ,8,100.0,100.0,83.3,100.0,95.8,Excellent
R6105,R6104,Robust hybrid name disambiguation framework for large databases,7,100.0,100.0,80.0,100.0,95.0,Excellent
R6117,R6116,A Real-time Heuristic-based Unsupervised Method for Name Disambiguatio,8,100.0,100.0,50.0,100.0,87.5,Excellent
R6130,R6129,Disambiguating authors in citations on the web and authorship correlat,7,100.0,100.0,80.0,100.0,95.0,Excellent
R6140,R6139,Self-training author name disambiguation for information scarce scenar,9,100.0,100.0,57.1,100.0,89.3,Excellent
R6151,R6150,Author name disambiguation using a graph model with node splitting and,8,100.0,100.0,66.7,100.0,91.7,Excellent
R6162,R6161,Evaluating the Use of Social Networks in Author Name Disambiguation in,9,100.0,100.0,57.1,100.0,89.3,Excellent
R6186,R6185,On the combination of domain-specific heuristics for author name disam,8,100.0,100.0,50.0,100.0,87.5,Excellent
R6287,R6286,Template-based question answering over RDF data,7,100.0,100.0,20.0,100.0,80.0,Excellent
R6291,R6290,Evaluation of a Layered Approach to Question Answering over Linked Dat,40,100.0,100.0,81.6,100.0,95.4,Excellent
R189082,R8186,Open Research Knowledge Graph: Next Generation Infrastructure for Sema,6,100.0,100.0,75.0,100.0,93.8,Excellent
R8194,R8186,Open Research Knowledge Graph: Next Generation Infrastructure for Sema,4,100.0,100.0,100.0,100.0,100.0,Excellent
R8199,R8186,Open Research Knowledge Graph: Next Generation Infrastructure for Sema,26,100.0,100.0,58.3,91.7,87.5,Excellent
R505901,R11010,Deeper Text Understanding for IR with Contextual Neural Language Model,4,100.0,100.0,0.0,100.0,75.0,Good
R505905,R11010,Deeper Text Understanding for IR with Contextual Neural Language Model,4,100.0,100.0,0.0,100.0,75.0,Good
R505909,R11010,Deeper Text Understanding for IR with Contextual Neural Language Model,4,100.0,100.0,0.0,100.0,75.0,Good
R525745,R11019,Identity Mappings in Deep Residual Networks,54,100.0,92.3,96.2,50.0,84.6,Excellent
R25707,R25706,Gephi: An Open Source Software for Exploring and Manipulating Networks,6,100.0,100.0,75.0,100.0,93.8,Excellent
R69283,R69282,SemEval 2017 Task 10: ScienceIE - Extracting Keyphrases and Relations ,69,100.0,100.0,79.1,95.5,93.7,Excellent
R69286,R69285,Domain-Independent Extraction of Scientific Concepts from Research Art,57,100.0,100.0,67.3,90.9,89.5,Excellent
R69289,R69288,"Multi-Task Identification of Entities, Relations, and Coreference for ",52,100.0,100.0,78.0,94.0,93.0,Excellent
R75321,R74026,Task 11 at SemEval-2021: NLPContributionGraph - Structuring Scholarly ,33,100.0,100.0,61.3,100.0,90.3,Excellent
